FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2010,4,Disbsmnt.,Development Assistance,usaid,Mozambique,Mozambique,Humanitarian Assistance,Disaster Readiness," $47,251.52 ",47251.52,47251.52
2010,2,Disbsmnt.,Development Assistance,usaid,Jamaica,Jamaica,ENVIRONMENT,Natural Resources and Biodiversity," $13,954.08 ",13954.08,13954.08
20014,0,Disbursements,N/A,DoD,Yemen,Yemen,Peace and Security,Counterterrorism," $703,624.00 ",703624,703624
2010,1,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Turkmenistan,Turkmenistan,Health,HIV/AIDS," $4,834.20 ",4834.2,4834.2
2012,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Georgia,Georgia,ENVIRONMENT,Natural Resources and Biodiversity," $132,110.81 ",132110.81,132110.81
2011,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID South America Regional,South America Region,Health,Malaria," $720,000.00 ",720000,720000
2012,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Nigeria,Nigeria,Health,Tuberculosis," $4,911,121.39 ",4911121.39,4911121.39
2008,4,Disbursements,N/A, MCC ,El Salvador,El Salvador,Economic Development,Infrastructure," $94,900.00 ",94900,94900
2011,4,Disbursements,Economic Support Fund,usaid,Colombia,Colombia,DRG,Political Competition and Consensus-Building," $710,062.88 ",710062.88,710062.88
2009,1,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Ethiopia,Ethiopia,Health,Malaria," $532,448.22 ",532448.22,532448.22
2009,4,Obligations,Global HIV/AIDS Initiative,U.S.A.I.D,Lesotho,Lesotho,Health,HIV/AIDS," $370,144.89 ",370144.89,370144.89
2008,4,Obligations,N/A, MCC ,Namibia,Namibia,Education and Social Services,Basic Education," $8,919,891.00 ",8919891,8919891
2011,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Nepal,Health,Pandemic Influenza and Other Emerging Threats ," $72,554.14 ",72554.14,72554.14
2009,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Nigeria,Nigeria,Health,Family Planning and Reproductive Health," $220,848.97 ",220848.97,220848.97
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia", USAID ,Belarus,Belarus,Education and Social Services,Higher Education," $100,000.00 ",100000,100000
2012,2,Disbursements,Economic Support Fund,U.S.A.I.D,Pakistan,Pakistan,Health,Maternal and Child Health," $4,440,307.23 ",4440307.23,4440307.23
2010,3,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Kosovo,Kosovo,"Democracy, Human Rights, and Governance",Civil Society," $497,101.80 ",497101.8,497101.8
2011,2,Disbursements,Economic Support Fund,usaid,Cyprus,Cyprus,Program Management,Direct Administrative Costs," $127,636.28 ",127636.28,127636.28
2012,2,Disbursements,Development Assistance,usaid,Bolivia,Bolivia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $8,319.89 ",8319.889999999999,8319.889999999999
2010,1,Disbsmnt.,Operating Expenses,usaid,Honduras,Worldwide,Program Management,Direct Administrative Costs," $727,132.76 ",727132.76,727132.76
2009,4,Obligations,Development Assistance, USAID ,Tanzania,Tanzania,ENVIRONMENT,Natural Resources and Biodiversity," $4,220,000.00 ",4220000,4220000
2009,2,Disbursements,Child Survival and Health Programs Fund, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education and Social Services,Social Services," $2,115,915.28 ",2115915.28,2115915.28
2013,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Ghana,Ghana,Health,Maternal and Child Health," $2,101,636.85 ",2101636.85,2101636.85
2009,1,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID ,Kazakhstan,Kazakhstan,Economic Development,Macroeconomic Foundation for Growth," $35,379.32 ",35379.32,35379.32
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Senegal,Senegal,Health,HIV/AIDS," $1,812,581.56 ",1812581.56,1812581.56
2011,4,Obligations,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",DRG,Rule of Law and Human Rights," $2,499,000.00 ",2499000,2499000
2013,1,Obligations,N/A,usaid,Guinea,Guinea,Program Management,Monitoring and Evaluation," $52,000.00 ",52000,52000
2010,3,Disbsmnt.,Development Assistance,usaid,Ecuador,Ecuador,ENVIRONMENT,Clean Productive Environment," $15,452.81 ",15452.81,15452.81
2014,2,Disbursements,N/A,usaid,Worldwide,Worldwide,ENVIRONMENT,Natural Resources and Biodiversity," $5,870,750.56 ",5870750.56,5870750.56
2010,4,Disbsmnt.,Development Assistance,usaid,Ecuador,Ecuador,Program Management,Monitoring and Evaluation," $13,807.80 ",13807.8,13807.8
2011,1,Disbursements,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs," $2,155,680.25 ",2155680.25,2155680.25
2011,1,Disbursements,Global Health & Child Survival,usaid,Afghanistan,Afghanistan,Program Management,Direct Administrative Costs," $1,866.91 ",1866.91,1866.91
2012,3,Disbursements,Development Assistance,usaid,Uganda,Uganda,Peace and Security,Conflict Mitigation and Reconciliation," $6,883.09 ",6883.09,6883.09
2011,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Afghanistan,Afghanistan,Health,Tuberculosis, $-   ,,
2010,4,Disbsmnt.,Development Assistance,usaid,Bolivia,Bolivia,Economic Development,Trade and Investment," $2,543.30 ",2543.3,2543.3
2009,4,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID ,Russia,Russia,Peace and Security,Conflict Mitigation and Reconciliation," $1,220,067.68 ",1220067.68,1220067.68
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eurasia Region,"Democracy, Human Rights, and Governance",Civil Society," $(4,533,474.18)",-4533474.18,-4533474.18
2013,3,Obligations,Democracy Fund,usaid,Haiti,Haiti,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $350,000.00 ",350000,350000
2012,1,Obligations,N/A, MCC ,Indonesia,Indonesia,multi-sector,Multi-Sector - Unspecified," $434,713.44 ",434713.44,434713.44
2013,1,Obligations,Economic Support Fund,usaid,Egypt,Egypt,Program Management,Direct Administrative Costs," $1,114,283.16 ",1114283.16,1114283.16
2009,4,Obligations,Economic Support Fund, USAID ,Indonesia,Indonesia,Economic Development,Macroeconomic Foundation for Growth," $805,267.00 ",805267,805267
2011,3,Disbursements,Development Credit Authority,usaid,Jamaica,Jamaica,Economic Development,Economic Opportunity, $-   ,,
2009,3,Disbursements,Development Assistance, USAID ,Mali,Mali,Education and Social Services,Social Assistance," $4,260.13 ",4260.13,4260.13
2013,3,Disbursements,N/A,usaid,Liberia,Liberia,Economic Development,Infrastructure," $6,085.90 ",6085.9,6085.9
2012,4,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Program Management,Direct Administrative Costs," $9,820.94 ",9820.940000000001,9820.940000000001
2010,1,Disbsmnt.,Economic Support Fund,usaid,Lebanon,Lebanon,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $596,939.45 ",596939.45,596939.45
2009,4,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID ,Turkmenistan,Turkmenistan,"Democracy, Human Rights, and Governance",Civil Society," $120,214.00 ",120214,120214
2010,1,Disbsmnt.,Development Assistance,usaid,Madagascar,Madagascar,ENVIRONMENT,Natural Resources and Biodiversity," $245,153.40 ",245153.4,245153.4
2009,1,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,El Salvador,El Salvador,Health,Other Public Health Threats," $750,674.59 ",750674.59,750674.59
2013,1,Obligations,Economic Support Fund,U.S.A.I.D,Afghanistan,Afghanistan,Health,Nutrition," $2,500,000.00 ",2500000,2500000
2014,2,Obligations,Economic Support Fund,usaid,Liberia,Liberia,Economic Development,Private Sector Competitiveness," $2,744,839.00 ",2744839,2744839
2010,2,Disbsmnt.,Special Assistance Initiatives,U.S.A.I.D,Joint Eurasia Regional,Eastern European Region,Health,Maternal and Child Health, $874.00 ,874,874
2011,1,Obligations,N/A,PEACE CORPS,Burkina Faso,Burkina Faso,,Health - General," $986,762.37 ",986762.37,986762.37
2013,2,Obligations,N/A,usaid,Uganda,Uganda,ENVIRONMENT,Natural Resources and Biodiversity, $25.00 ,25,25
2013,4,Obligations,Economic Support Fund,U.S.A.I.D,Afghanistan,Afghanistan,Health,Other Public Health Threats," $2,200,000.00 ",2200000,2200000
2013,4,Disbursements,Development Credit Authority,usaid,Paraguay,Paraguay,Economic Development,Private Sector Competitiveness," $1,979.11 ",1979.11,1979.11
2010,4,Disbsmnt.,Development Assistance,usaid,USAID Operating Expense,Worldwide,Economic Development,Infrastructure, $109.25 ,109.25,109.25
2011,3,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Somalia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $677,313.03 ",677313.03,677313.03
2013,2,Disbursements,N/A,usaid,Peru,Peru,Economic Development,Private Sector Competitiveness," $599,376.20 ",599376.2,599376.2
2010,4,Disbsmnt.,Economic Support Fund,usaid,Philippines,Philippines,Program Management,Direct Administrative Costs," $202,139.59 ",202139.59,202139.59
2011,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Africa Regional,East Africa Region,Health,HIV/AIDS," $3,972.16 ",3972.16,3972.16
2011,4,Obligations,Assist. For N.I.S Of Former Soviet Union,usaid,Azerbaijan,Azerbaijan,Program Management,Direct Administrative Costs," $(18,848.89)",-18848.89,-18848.89
2010,4,Disbsmnt.,Child Survival and Health Programs Fund,U.S.A.I.D,Philippines,Philippines,Health,Tuberculosis," $117,051.22 ",117051.22,117051.22
2009,1,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Worldwide,Health,Pandemic Influenza and Other Emerging Threats ," $32,696.70 ",32696.7,32696.7
2014,1,Obligations,N/A, MCC ,El Salvador,El Salvador,Economic Development,Private Sector Competitiveness," $46,308.00 ",46308,46308
2009,4,Obligations,Development Assistance, USAID ,Zambia,Zambia,Economic Development,Economic Opportunity," $816,000.00 ",816000,816000
2012,4,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Africa Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(669,753.63)",-669753.63,-669753.63
2009,2,Obligations,Operating Expenses, USAID ,Albania,Worldwide,Program Management,Direct Administrative Costs," $429,841.52 ",429841.52,429841.52
2010,3,Disbsmnt.,Development Assistance,usaid,USAID Africa Regional,Africa Region,ENVIRONMENT,Natural Resources and Biodiversity," $443,458.71 ",443458.71,443458.71
2014,2,Obligations,N/A,PEACE CORPS,Mali,Mali,,Direct Administrative Costs," $290,317.64 ",290317.64,290317.64
2013,1,Disbursements,N/A,usaid,Guinea,Guinea,"Democracy, Human Rights, and Governance",Good Governance," $968,291.15 ",968291.15,968291.15
2012,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Kosovo,Kosovo,Health,Water Supply and Sanitation," $687,212.54 ",687212.54,687212.54
2009,2,Disbursements,N/A, MCC ,Ghana,Ghana,multi-sector,Multi-Sector - Unspecified," $(735,201.89)",-735201.89,-735201.89
2006,3,Obligations,N/A, MCC ,Georgia,Georgia,multi-sector,Multi-Sector - Unspecified," $1,276,495.92 ",1276495.92,1276495.92
2011,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Russia,Russia,Program Management,Direct Administrative Costs," $157,093.78 ",157093.78,157093.78
2012,2,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",East Asia Region,Humanitarian Assistance,Disaster Readiness," $428,097.00 ",428097,428097
2009,2,Disbursements,N/A, MCC ,Nicaragua,Nicaragua,ENVIRONMENT,Natural Resources and Biodiversity," $382,411.72 ",382411.72,382411.72
2010,1,Disbsmnt.,Development Assistance,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of","Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $190,391.27 ",190391.27,190391.27
2010,2,Disbsmnt.,Development Assistance,usaid,Mongolia,Mongolia,Program Management,Monitoring and Evaluation," $58,876.19 ",58876.19,58876.19
2012,1,Disbursements,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Worldwide,"Democracy, Human Rights, and Governance",Good Governance," $302,250.10 ",302250.1,302250.1
2009,1,Disbursements,Economic Support Fund, USAID ,Liberia,Liberia,Program Management,Direct Administrative Costs," $21,000.00 ",21000,21000
2010,1,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Afghanistan,Health,Maternal and Child Health," $6,571.00 ",6571,6571
2013,3,Obligations,N/A,usaid,Afghanistan,Afghanistan,Economic Development,Economic Opportunity," $(5,940.36)",-5940.36,-5940.36
2010,1,Disbsmnt.,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Mexico,Education and Social Services,Social Services," $9,205.00 ",9205,9205
2010,4,Disbsmnt.,Child Survival and Health Programs Fund,U.S.A.I.D,Mali,Mali,Health,Family Planning and Reproductive Health," $64,882.68 ",64882.68,64882.68
2013,4,Disbursements,N/A, MCC ,Benin,Benin,multi-sector,Multi-Sector - Unspecified," $75,293.99 ",75293.99000000001,75293.99000000001
2014,2,Obligations,N/A, MCC ,Indonesia,Indonesia,Economic Development,Economic Opportunity," $(1,650,000.00)",-1650000,-1650000
2010,4,Obgl.,Development Assistance,usaid,Nigeria,Nigeria,Education and Social Services,Social Services," $(1,156.17)",-1156.17,-1156.17
2010,2,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Ghana,Ghana,Health,Tuberculosis," $7,548.96 ",7548.96,7548.96
2012,3,Obligations,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs," $203,468.79 ",203468.79,203468.79
2013,3,Disbursements,Economic Support Fund,usaid,Somalia,Somalia,Program Management,Monitoring and Evaluation," $387,142.00 ",387142,387142
2013,2,Disbursements,Global HIV/AIDS Initiative,usaid,Nigeria,Nigeria,Program Management,Direct Administrative Costs," $15,172.54 ",15172.54,15172.54
2013,1,Disbursements,International Disaster Assistance,usaid,Afghanistan,Afghanistan,Humanitarian Assistance,Disaster Readiness," $992,630.23 ",992630.23,992630.23
2012,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,USAID Central Asia Regional,Central Asia Region,Health,Maternal and Child Health," $184,135.31 ",184135.31,184135.31
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eurasia Region,ENVIRONMENT,Natural Resources and Biodiversity," $100,000.00 ",100000,100000
2009,3,Disbursements,Development Assistance, USAID ,Jamaica,Jamaica,ENVIRONMENT,Natural Resources and Biodiversity," $226,053.40 ",226053.4,226053.4
2011,4,Obligations,Development Assistance,usaid,Kenya,Kenya,DRG,Civil Society," $2,000,000.00 ",2000000,2000000
2014,2,Obligations,Democracy Fund,usaid,Colombia,Colombia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $410,643.46 ",410643.46,410643.46
2010,2,Disbsmnt.,Development Assistance,usaid,USAID Operating Expense,"Congo, Democratic Republic of",Program Management,Monitoring and Evaluation, $120.00 ,120,120
2013,1,Obligations,N/A,usaid,Georgia,Georgia,Program Management,Monitoring and Evaluation," $6,732.00 ",6732,6732
2010,4,Disbsmnt.,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Afghanistan,Program Management,Direct Administrative Costs," $186,724.67 ",186724.67,186724.67
2012,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Malawi,Malawi,Health,HIV/AIDS," $7,162,749.35 ",7162749.35,7162749.35
2012,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Zimbabwe,Zimbabwe,Health,Malaria," $11,463.58 ",11463.58,11463.58
2013,2,Disbursements,N/A,usaid,Georgia,Georgia,Economic Development,Economic Opportunity," $401,171.81 ",401171.81,401171.81
2013,3,Disbursements,Economic Support Fund,usaid,Jordan,Jordan,Economic Development,Infrastructure," $257,679.74 ",257679.74,257679.74
2010,1,Obgl.,N/A,U.S.A.I.D,Mongolia,Mongolia,Health,Other Public Health Threats," $(3,347.00)",-3347,-3347
2011,3,Obligations,Economic Support Fund,usaid,Haiti,Haiti,Program Management,Direct Administrative Costs," $18,875,146.00 ",18875146,18875146
2013,1,Disbursements,N/A,usaid,Senegal,Senegal,Program Management,Direct Administrative Costs," $160,222.59 ",160222.59,160222.59
2009,3,Disbursements,Operating Expenses, USAID ,Nepal,Worldwide,Program Management,Direct Administrative Costs," $667,606.42 ",667606.42,667606.42
2011,1,Disbursements,Development Assistance,usaid,USAID Office of Development Partners,Haiti,Economic Development,Trade and Investment," $2,927.40 ",2927.4,2927.4
2011,1,Disbursements,N/A, MCC ,Vanuatu,Vanuatu,Program Management,Direct Administrative Costs," $634,814.14 ",634814.14,634814.14
2012,2,Obligations,Operating Expenses,usaid,Lebanon,Worldwide,Program Management,Direct Administrative Costs," $222,302.72 ",222302.72,222302.72
2014,2,Obligations,Transition Initiatives,usaid,Haiti,Haiti,Program Management,Direct Administrative Costs," $(111,493.84)",-111493.84,-111493.84
