FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2,notCountry
2009,4,Disbursements,Development Assistance,USAID,Dominican Republic,Dominican Republic,Economic Development,Infrastructure, $144.41 ,144.41,144.41,0
2010,4,Disbursements,Development Assistance,USAID,Mozambique,Mozambique,Humanitarian Assistance,Disaster Readiness," $47,251.52 ",47251.52,47251.52,0
2010,2,Disbursements,Development Assistance,USAID,Jamaica,Jamaica,Environment,Natural Resources and Biodiversity," $13,954.08 ",13954.08,13954.08,0
2014,,Disbursements,Unknown,DOD,Yemen,Yemen,Peace And Security,Counterterrorism," $703,624.00 ",703624,703624,0
2010,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Turkmenistan,Turkmenistan,Health,HIV/AIDS," $4,834.20 ",4834.2,4834.2,0
2012,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,Environment,Natural Resources and Biodiversity," $132,110.81 ",132110.81,132110.81,0
2011,1,Disbursements,Global Health & Child Survival,USAID,USAID South America Regional,South America Region,Health,Malaria," $720,000.00 ",720000,720000,1
2012,1,Disbursements,Global Health & Child Survival,USAID,Nigeria,Nigeria,Health,Tuberculosis," $4,911,121.39 ",4911121.39,4911121.39,0
2008,4,Disbursements,Unknown,MCC,El Salvador,El Salvador,Economic Development,Infrastructure," $94,900.00 ",94900,94900,0
2011,4,Disbursements,Economic Support Fund,USAID,Colombia,Colombia,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $710,062.88 ",710062.88,710062.88,0
2009,1,Disbursements,Child Survival and Health Programs Fund,USAID,Ethiopia,Ethiopia,Health,Malaria," $532,448.22 ",532448.22,532448.22,0
2009,4,Obligations,Global HIV/AIDS Initiative,USAID,Lesotho,Lesotho,Health,HIV/AIDS," $370,144.89 ",370144.89,370144.89,0
2008,4,Obligations,Unknown,MCC,Namibia,Namibia,Education And Social Services,Basic Education," $8,919,891.00 ",8919891,8919891,0
2011,4,Disbursements,Global Health & Child Survival,USAID,USAID Global Health,Nepal,Health,Pandemic Influenza and Other Emerging Threats ," $72,554.14 ",72554.14,72554.14,0
2009,4,Disbursements,Child Survival and Health Programs Fund,USAID,Nigeria,Nigeria,Health,Family Planning and Reproductive Health," $220,848.97 ",220848.97,220848.97,0
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Belarus,Belarus,Education And Social Services,Higher Education," $100,000.00 ",100000,100000,0
2012,2,Disbursements,Economic Support Fund,USAID,Pakistan,Pakistan,Health,Maternal and Child Health," $4,440,307.23 ",4440307.23,4440307.23,0
2010,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Kosovo,Kosovo,"Democracy, Human Rights, And Governance",Civil Society," $497,101.80 ",497101.8,497101.8,0
2011,2,Disbursements,Economic Support Fund,USAID,Cyprus,Cyprus,Program Management,Direct Administrative Costs," $127,636.28 ",127636.28,127636.28,0
2012,2,Disbursements,Development Assistance,USAID,Bolivia,Bolivia,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $8,319.89 ",8319.889999999999,8319.889999999999,0
2010,1,Disbursements,Operating Expenses,USAID,Honduras,Worldwide,Program Management,Direct Administrative Costs," $727,132.76 ",727132.76,727132.76,0
2009,4,Obligations,Development Assistance,USAID,Tanzania,Tanzania,Environment,Natural Resources and Biodiversity," $4,220,000.00 ",4220000,4220000,0
2009,2,Disbursements,Child Survival and Health Programs Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education And Social Services,Social Services," $2,115,915.28 ",2115915.28,2115915.28,0
2013,1,Disbursements,Global Health & Child Survival,USAID,Ghana,Ghana,Health,Maternal and Child Health," $2,101,636.85 ",2101636.85,2101636.85,0
2009,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,Economic Development,Macroeconomic Foundation for Growth," $35,379.32 ",35379.32,35379.32,0
2009,4,Disbursements,Global Health & Child Survival,USAID,Senegal,Senegal,Health,HIV/AIDS," $1,812,581.56 ",1812581.56,1812581.56,0
2011,4,Obligations,Economic Support Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of","Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $2,499,000.00 ",2499000,2499000,0
2013,1,Obligations,Unknown,USAID,Guinea,Guinea,Program Management,Monitoring and Evaluation," $52,000.00 ",52000,52000,0
2010,3,Disbursements,Development Assistance,USAID,Ecuador,Ecuador,Environment,Clean Productive Environment," $15,452.81 ",15452.81,15452.81,0
2014,2,Disbursements,Unknown,USAID,Worldwide,Worldwide,Environment,Natural Resources and Biodiversity," $5,870,750.56 ",5870750.56,5870750.56,0
2010,4,Disbursements,Development Assistance,USAID,Ecuador,Ecuador,Program Management,Monitoring and Evaluation," $13,807.80 ",13807.8,13807.8,0
2011,1,Disbursements,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs," $2,155,680.25 ",2155680.25,2155680.25,0
2011,1,Disbursements,Global Health & Child Survival,USAID,Afghanistan,Afghanistan,Program Management,Direct Administrative Costs," $1,866.91 ",1866.91,1866.91,0
2012,3,Disbursements,Development Assistance,USAID,Uganda,Uganda,Peace And Security,Conflict Mitigation and Reconciliation," $6,883.09 ",6883.09,6883.09,0
2011,2,Obligations,Global Health & Child Survival,USAID,Afghanistan,Afghanistan,Health,Tuberculosis, $-   ,,,0
2010,4,Disbursements,Development Assistance,USAID,Bolivia,Bolivia,Economic Development,Trade and Investment," $2,543.30 ",2543.3,2543.3,0
2009,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Russia,Russia,Peace And Security,Conflict Mitigation and Reconciliation," $1,220,067.68 ",1220067.68,1220067.68,0
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Eurasia Region,"Democracy, Human Rights, And Governance",Civil Society," $(4,533,474.18)",-4533474.18,-4533474.18,1
2013,3,Obligations,Democracy Fund,USAID,Haiti,Haiti,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $350,000.00 ",350000,350000,0
2012,1,Obligations,Unknown,MCC,Indonesia,Indonesia,Multi-Sector,Multi-Sector - Unspecified," $434,713.44 ",434713.44,434713.44,0
2013,1,Obligations,Economic Support Fund,USAID,Egypt,Egypt,Program Management,Direct Administrative Costs," $1,114,283.16 ",1114283.16,1114283.16,0
2009,4,Obligations,Economic Support Fund,USAID,Indonesia,Indonesia,Economic Development,Macroeconomic Foundation for Growth," $805,267.00 ",805267,805267,0
2011,3,Disbursements,Development Credit Authority,USAID,Jamaica,Jamaica,Economic Development,Economic Opportunity, $-   ,,,0
2009,3,Disbursements,Development Assistance,USAID,Mali,Mali,Education And Social Services,Social Assistance," $4,260.13 ",4260.13,4260.13,0
2013,3,Disbursements,Unknown,USAID,Liberia,Liberia,Economic Development,Infrastructure," $6,085.90 ",6085.9,6085.9,0
2012,4,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Program Management,Direct Administrative Costs," $9,820.94 ",9820.940000000001,9820.940000000001,0
2010,1,Disbursements,Economic Support Fund,USAID,Lebanon,Lebanon,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $596,939.45 ",596939.45,596939.45,0
2009,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Turkmenistan,Turkmenistan,"Democracy, Human Rights, And Governance",Civil Society," $120,214.00 ",120214,120214,0
2010,1,Disbursements,Development Assistance,USAID,Madagascar,Madagascar,Environment,Natural Resources and Biodiversity," $245,153.40 ",245153.4,245153.4,0
2009,1,Disbursements,Child Survival and Health Programs Fund,USAID,El Salvador,El Salvador,Health,Other Public Health Threats," $750,674.59 ",750674.59,750674.59,0
2013,1,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Health,Nutrition," $2,500,000.00 ",2500000,2500000,0
2014,2,Obligations,Economic Support Fund,USAID,Liberia,Liberia,Economic Development,Private Sector Competitiveness," $2,744,839.00 ",2744839,2744839,0
2010,2,Disbursements,Special Assistance Initiatives,USAID,Joint Eurasia Regional,Eastern European Region,Health,Maternal and Child Health, $874.00 ,874,874,1
2011,1,Obligations,Unknown,Peace Corps,Burkina Faso,Burkina Faso,Missing,Health - General," $986,762.37 ",986762.37,986762.37,0
2013,2,Obligations,Unknown,USAID,Uganda,Uganda,Environment,Natural Resources and Biodiversity, $25.00 ,25,25,0
2013,4,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Health,Other Public Health Threats," $2,200,000.00 ",2200000,2200000,0
2013,4,Disbursements,Development Credit Authority,USAID,Paraguay,Paraguay,Economic Development,Private Sector Competitiveness," $1,979.11 ",1979.11,1979.11,0
2010,4,Disbursements,Development Assistance,USAID,USAID Operating Expense,Worldwide,Economic Development,Infrastructure, $109.25 ,109.25,109.25,0
2011,3,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Somalia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $677,313.03 ",677313.03,677313.03,0
2013,2,Disbursements,Unknown,USAID,Peru,Peru,Economic Development,Private Sector Competitiveness," $599,376.20 ",599376.2,599376.2,0
2010,4,Disbursements,Economic Support Fund,USAID,Philippines,Philippines,Program Management,Direct Administrative Costs," $202,139.59 ",202139.59,202139.59,0
2011,1,Disbursements,Global Health & Child Survival,USAID,USAID Africa Regional,East Africa Region,Health,HIV/AIDS," $3,972.16 ",3972.16,3972.16,1
2011,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Azerbaijan,Azerbaijan,Program Management,Direct Administrative Costs," $(18,848.89)",-18848.89,-18848.89,0
2010,4,Disbursements,Child Survival and Health Programs Fund,USAID,Philippines,Philippines,Health,Tuberculosis," $117,051.22 ",117051.22,117051.22,0
2009,1,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Worldwide,Health,Pandemic Influenza and Other Emerging Threats ," $32,696.70 ",32696.7,32696.7,0
2014,1,Obligations,Unknown,MCC,El Salvador,El Salvador,Economic Development,Private Sector Competitiveness," $46,308.00 ",46308,46308,0
2009,4,Obligations,Development Assistance,USAID,Zambia,Zambia,Economic Development,Economic Opportunity," $816,000.00 ",816000,816000,0
2012,4,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Africa Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(669,753.63)",-669753.63,-669753.63,1
2009,2,Obligations,Operating Expenses,USAID,Albania,Worldwide,Program Management,Direct Administrative Costs," $429,841.52 ",429841.52,429841.52,0
2010,3,Disbursements,Development Assistance,USAID,USAID Africa Regional,Africa Region,Environment,Natural Resources and Biodiversity," $443,458.71 ",443458.71,443458.71,1
2014,2,Obligations,Unknown,Peace Corps,Mali,Mali,Missing,Direct Administrative Costs," $290,317.64 ",290317.64,290317.64,0
2013,1,Disbursements,Unknown,USAID,Guinea,Guinea,"Democracy, Human Rights, And Governance",Good Governance," $968,291.15 ",968291.15,968291.15,0
2012,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Kosovo,Kosovo,Health,Water Supply and Sanitation," $687,212.54 ",687212.54,687212.54,0
2009,2,Disbursements,Unknown,MCC,Ghana,Ghana,Multi-Sector,Multi-Sector - Unspecified," $(735,201.89)",-735201.89,-735201.89,0
2006,3,Obligations,Unknown,MCC,Georgia,Georgia,Multi-Sector,Multi-Sector - Unspecified," $1,276,495.92 ",1276495.92,1276495.92,0
2011,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Russia,Russia,Program Management,Direct Administrative Costs," $157,093.78 ",157093.78,157093.78,0
2012,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",East Asia Region,Humanitarian Assistance,Disaster Readiness," $428,097.00 ",428097,428097,1
2009,2,Disbursements,Unknown,MCC,Nicaragua,Nicaragua,Environment,Natural Resources and Biodiversity," $382,411.72 ",382411.72,382411.72,0
2010,1,Disbursements,Development Assistance,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of","Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $190,391.27 ",190391.27,190391.27,0
2010,2,Disbursements,Development Assistance,USAID,Mongolia,Mongolia,Program Management,Monitoring and Evaluation," $58,876.19 ",58876.19,58876.19,0
2012,1,Disbursements,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,"Democracy, Human Rights, And Governance",Good Governance," $302,250.10 ",302250.1,302250.1,0
2009,1,Disbursements,Economic Support Fund,USAID,Liberia,Liberia,Program Management,Direct Administrative Costs," $21,000.00 ",21000,21000,0
2010,1,Disbursements,Global Health & Child Survival,USAID,USAID Global Health,Afghanistan,Health,Maternal and Child Health," $6,571.00 ",6571,6571,0
2013,3,Obligations,Unknown,USAID,Afghanistan,Afghanistan,Economic Development,Economic Opportunity," $(5,940.36)",-5940.36,-5940.36,0
2010,1,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mexico,Education And Social Services,Social Services," $9,205.00 ",9205,9205,0
2010,4,Disbursements,Child Survival and Health Programs Fund,USAID,Mali,Mali,Health,Family Planning and Reproductive Health," $64,882.68 ",64882.68,64882.68,0
2013,4,Disbursements,Unknown,MCC,Benin,Benin,Multi-Sector,Multi-Sector - Unspecified," $75,293.99 ",75293.99000000001,75293.99000000001,0
2014,2,Obligations,Unknown,MCC,Indonesia,Indonesia,Economic Development,Economic Opportunity," $(1,650,000.00)",-1650000,-1650000,0
2010,4,Obligations,Development Assistance,USAID,Nigeria,Nigeria,Education And Social Services,Social Services," $(1,156.17)",-1156.17,-1156.17,0
2010,2,Disbursements,Global Health & Child Survival,USAID,Ghana,Ghana,Health,Tuberculosis," $7,548.96 ",7548.96,7548.96,0
2012,3,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs," $203,468.79 ",203468.79,203468.79,0
2013,3,Disbursements,Economic Support Fund,USAID,Somalia,Somalia,Program Management,Monitoring and Evaluation," $387,142.00 ",387142,387142,0
2013,2,Disbursements,Global HIV/AIDS Initiative,USAID,Nigeria,Nigeria,Program Management,Direct Administrative Costs," $15,172.54 ",15172.54,15172.54,0
2013,1,Disbursements,International Disaster Assistance,USAID,Afghanistan,Afghanistan,Humanitarian Assistance,Disaster Readiness," $992,630.23 ",992630.23,992630.23,0
2012,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,USAID Central Asia Regional,Central Asia Region,Health,Maternal and Child Health," $184,135.31 ",184135.31,184135.31,1
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Eurasia Region,Environment,Natural Resources and Biodiversity," $100,000.00 ",100000,100000,1
2009,3,Disbursements,Development Assistance,USAID,Jamaica,Jamaica,Environment,Natural Resources and Biodiversity," $226,053.40 ",226053.4,226053.4,0
2011,4,Obligations,Development Assistance,USAID,Kenya,Kenya,"Democracy, Human Rights, And Governance",Civil Society," $2,000,000.00 ",2000000,2000000,0
2014,2,Obligations,Democracy Fund,USAID,Colombia,Colombia,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $410,643.46 ",410643.46,410643.46,0
2010,2,Disbursements,Development Assistance,USAID,USAID Operating Expense,"Congo, Democratic Republic of",Program Management,Monitoring and Evaluation, $120.00 ,120,120,0
2013,1,Obligations,Unknown,USAID,Georgia,Georgia,Program Management,Monitoring and Evaluation," $6,732.00 ",6732,6732,0
2010,4,Disbursements,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Afghanistan,Program Management,Direct Administrative Costs," $186,724.67 ",186724.67,186724.67,0
2012,4,Disbursements,Global Health & Child Survival,USAID,Malawi,Malawi,Health,HIV/AIDS," $7,162,749.35 ",7162749.35,7162749.35,0
2012,4,Disbursements,Global Health & Child Survival,USAID,Zimbabwe,Zimbabwe,Health,Malaria," $11,463.58 ",11463.58,11463.58,0
2013,2,Disbursements,Unknown,USAID,Georgia,Georgia,Economic Development,Economic Opportunity," $401,171.81 ",401171.81,401171.81,0
2013,3,Disbursements,Economic Support Fund,USAID,Jordan,Jordan,Economic Development,Infrastructure," $257,679.74 ",257679.74,257679.74,0
