FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2010,1,Disbsmnt.,Development Assistance,usaid,Mozambique,Mozambique,Humanitarian Assistance,Disaster Readiness," $37,168.96 ",37168.96,37168.96
2010,1,Disbsmnt.,Development Assistance,usaid,Jamaica,Jamaica,"Democracy, Human Rights, and Governance",Good Governance," $293,835.32 ",293835.32,293835.32
20014,0,Disbursements,N/A,DoD,Uruguay,Uruguay,Peace and Security,Counterterrorism," $25,509.00 ",25509,25509
2010,4,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Turkmenistan,Turkmenistan,Economic Development,Financial Sector," $109,545.66 ",109545.66,109545.66
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Georgia,Georgia,Program Management,Monitoring and Evaluation," $338,663.21 ",338663.21,338663.21
2011,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID South America Regional,Peru,Health,Malaria," $760,768.15 ",760768.15,760768.15
2012,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Nigeria,Nigeria,Health,Maternal and Child Health," $5,033,247.52 ",5033247.52,5033247.52
2008,3,Disbursements,N/A,MCC,El Salvador,El Salvador,Economic Development,Financial Sector," $128,866.00 ",128866,128866
2011,1,Disbursements,Economic Support Fund,usaid,Colombia,Colombia,DRG,Political Competition and Consensus-Building," $330,401.00 ",330401,330401
2009,3,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Burma,Burma,Health,HIV/AIDS," $8,212.72 ",8212.719999999999,8212.719999999999
2009,1,Obligations,Global HIV/AIDS Initiative,U.S.A.I.D,Lesotho,Lesotho,Health,HIV/AIDS," $7,748.00 ",7748,7748
2008,40,Obligations,N/A,MCC,Namibia,Namibia,Economic Development,Agriculture," $1,369,139.00 ",1369139,1369139
2011,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Mozambique,Health,Tuberculosis," $93,727.60 ",93727.60000000001,93727.60000000001
2009,3,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Nicaragua,Nicaragua,Health,HIV/AIDS," $67,855.59 ",67855.59,67855.59
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia", USAID,Armenia,Armenia,Education and Social Services,Social Services," $600,000.00 ",600000,600000
2012,4,Disbursements,Economic Support Fund,usaid,Pakistan,Pakistan,Econ. Dev.,Financial Sector," $2,124,328.56 ",2124328.56,2124328.56
2010,1,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $160,000.00 ",160000,160000
2011,2,Disbursements,Economic Support Fund,usaid,Cuba,Cuba,Program Management,Direct Administrative Costs," $165,053.77 ",165053.77,165053.77
2012,2,Disbursements,Development Assistance,usaid,Bolivia,Bolivia,ENVIRONMENT,Natural Resources and Biodiversity," $1,685,204.00 ",1685204,1685204
2010,2,Disbsmnt.,Operating Expenses,usaid,Haiti,Worldwide,Program Management,Direct Administrative Costs," $3,280,969.97 ",3280969.97,3280969.97
2009,4,Obligations,Development Assistance, USAID,Swaziland,Swaziland,"Democracy, Human Rights, and Governance",Civil Society," $29,000.00 ",29000,29000
2009,1,Disbursements,Child Survival and Health Programs Fund, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Education and Social Services,Social Services," $63,017.07 ",63017.07,63017.07
2013,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Ghana,Ghana,Health,Malaria," $4,719,461.79 ",4719461.79,4719461.79
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID,Kazakhstan,Kazakhstan,Program Management,Direct Administrative Costs," $60,426.27 ",60426.27,60426.27
2009,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Senegal,Senegal,Health,HIV/AIDS," $108,532.34 ",108532.34,108532.34
2011,1,Obligations,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",DRG,Rule of Law and Human Rights," $16,199.59 ",16199.59,16199.59
2013,1,Obligations,N/A,usaid,Guinea,Guinea,Program Management,Direct Administrative Costs," $510,547.69 ",510547.69,510547.69
2010,3,Disbsmnt.,Development Assistance,usaid,Ecuador,Ecuador,"Democracy, Human Rights, and Governance",Civil Society," $193,220.82 ",193220.82,193220.82
2014,2,Disbursements,N/A,usaid,Worldwide,Worldwide,Economic Development,Infrastructure," $1,420,771.26 ",1420771.26,1420771.26
2010,2,Disbsmnt.,Development Assistance,usaid,Ecuador,Ecuador,Peace and Security,Counter-Narcotics," $1,216,857.29 ",1216857.29,1216857.29
2011,3,Disbursements,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Venezuela,Program Management,Direct Administrative Costs," $75,064.28 ",75064.28,75064.28
2011,3,Disbursements,Gifts and Donations,usaid,USAID East Africa Regional,East Africa Region,Economic Development,Agriculture," $83,523.27 ",83523.27,83523.27
2012,4,Disbursements,Development Assistance,usaid,Uganda,Uganda,ENVIRONMENT,Clean Productive Environment, $163.91 ,163.91,163.91
2011,4,Obligations,Gifts and Donations,U.S.A.I.D,USAID Africa Regional,Africa Region,Health,Maternal and Child Health," $2,403,628.00 ",2403628,2403628
2010,1,Disbsmnt.,Development Assistance,usaid,Bolivia,Bolivia,Economic Development,Trade and Investment," $368,221.62 ",368221.62,368221.62
2009,1,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID,Russia,Russia,Peace and Security,Conflict Mitigation and Reconciliation," $545,894.68 ",545894.6800000001,545894.6800000001
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eastern European Region,Peace and Security,Transnational Crime," $242,540.47 ",242540.47,242540.47
2013,1,Obligations,Democracy Fund,usaid,Djibouti,Djibouti,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $44,302.00 ",44302,44302
2012,3,Obligations,N/A,MCC,Ghana,Ghana,multi-sector,Multi-Sector - Unspecified," $235,535.63 ",235535.63,235535.63
2013,3,Obligations,Economic Support Fund,usaid,Egypt,Egypt,"Democracy, Human Rights, and Governance",Civil Society," $1,010,458.06 ",1010458.06,1010458.06
2009,4,Obligations,Economic Support Fund, USAID,Indonesia,Indonesia,Economic Development,Financial Sector," $2,456,292.00 ",2456292,2456292
2011,2,Disbursements,Development Credit Authority,usaid,Guyana,Guyana,Economic Development,Financial Sector," $12,397.50 ",12397.5,12397.5
2009,3,Disbursements,Development Assistance, USAID,Mali,Mali,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $65,000.00 ",65000,65000
2013,2,Disbursements,N/A,usaid,Liberia,Liberia,Education and Social Services,Higher Education," $16,166.97 ",16166.97,16166.97
2012,1,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Program Management,Direct Administrative Costs," $51,095.28 ",51095.28,51095.28
2010,4,Disbsmnt.,Economic Support Fund,usaid,Lebanon,Lebanon,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,386,968.57 ",1386968.57,1386968.57
2009,1,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID,Turkmenistan,Turkmenistan,"Democracy, Human Rights, and Governance",Civil Society," $1,517,245.62 ",1517245.62,1517245.62
2010,3,Disbsmnt.,Development Assistance,usaid,Madagascar,Madagascar,ENVIRONMENT,Clean Productive Environment, $(24.53),-24.53,-24.53
2009,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,El Salvador,El Salvador,Health,Family Planning and Reproductive Health," $43,432.25 ",43432.25,43432.25
2013,2,Obligations,Economic Support Fund,usaid,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation," $4,440,858.65 ",4440858.65,4440858.65
2014,2,Obligations,Economic Support Fund,U.S.A.I.D,Lebanon,Lebanon,Health,Water Supply and Sanitation," $5,654,283.00 ",5654283,5654283
2010,2,Disbsmnt.,Special Assistance Initiatives,usaid,Joint Eurasia Regional,Eastern European Region,Program Management,Direct Administrative Costs," $780,486.18 ",780486.1800000001,780486.1800000001
2011,1,Obligations,N/A,PEACE CORPS,Benin,Benin,,Education and Social Services - General," $1,162,530.79 ",1162530.79,1162530.79
2013,2,Obligations,N/A,usaid,Uganda,Uganda,ENVIRONMENT,Environment," $21,977.13 ",21977.13,21977.13
2013,3,Obligations,Economic Support Fund,usaid,Afghanistan,Afghanistan,ENVIRONMENT,Natural Resources and Biodiversity," $(45,330.83)",-45330.83,-45330.83
2013,3,Disbursements,Development Credit Authority,U.S.A.I.D,Nigeria,Nigeria,Health,Family Planning and Reproductive Health," $20,764.36 ",20764.36,20764.36
2010,3,Disbsmnt.,Development Assistance,usaid,USAID Operating Expense,Worldwide,"Democracy, Human Rights, and Governance",Good Governance, $58.13 ,58.13,58.13
2011,2,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Senegal,Humanitarian Assistance,Disaster Readiness, $283.10 ,283.1,283.1
2013,3,Disbursements,N/A,usaid,Bangladesh,Bangladesh,"Democracy, Human Rights, and Governance",Civil Society," $345,282.07 ",345282.07,345282.07
2010,1,Disbsmnt.,Economic Support Fund,usaid,Philippines,Philippines,Program Management,Direct Administrative Costs," $30,726.06 ",30726.06,30726.06
2011,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Africa Regional,Africa Region,Health,Nutrition," $9,103.74 ",9103.74,9103.74
2011,2,Obligations,Assist. For N.I.S Of Former Soviet Union,usaid,Armenia,Eurasia Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(108,017.59)",-108017.59,-108017.59
2010,1,Disbsmnt.,Child Survival and Health Programs Fund,U.S.A.I.D,Philippines,Philippines,Health,Tuberculosis," $24,974.50 ",24974.5,24974.5
2009,2,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Worldwide,Health,Other Public Health Threats," $9,008.53 ",9008.530000000001,9008.530000000001
2014,1,Obligations,N/A,MCC,El Salvador,El Salvador,Education and Social Services,Basic Education, $-   ,,
2009,4,Obligations,Development Assistance, USAID,Zambia,Zambia,Program Management,Direct Administrative Costs," $2,401,000.00 ",2401000,2401000
2012,1,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Africa Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $2,397,113.38 ",2397113.38,2397113.38
2009,1,Obligations,Millennium Challenge Corporation, USAID,Ukraine,Ukraine,"Democracy, Human Rights, and Governance",Good Governance, $(651.23),-651.23,-651.23
2010,3,Disbsmnt.,Development Assistance,usaid,USAID Africa Regional,Africa Region,Program Management,Monitoring and Evaluation," $324,845.98 ",324845.98,324845.98
2014,1,Obligations,N/A,PEACE CORPS,Malawi,Malawi,,Health - General," $171,124.14 ",171124.14,171124.14
2013,2,Disbursements,N/A,usaid,Guinea,Guinea,Peace and Security,Conflict Mitigation and Reconciliation," $85,551.16 ",85551.16,85551.16
2012,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Kosovo,Kosovo,Peace and Security,Transnational Crime," $62,126.00 ",62126,62126
2009,40,Disbursements,N/A,MCC,Ghana,Ghana,Economic Development,Macroeconomic Foundation for Growth," $89,918.81 ",89918.81,89918.81
2006,3,Obligations,N/A,MCC,Georgia,Georgia,Economic Development,Infrastructure," $151,700,000.00 ",151700000,151700000
2011,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Russia,Russia,DRG,Civil Society," $620,000.00 ",620000,620000
2012,4,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",East Africa Region,Humanitarian Assistance,Disaster Readiness," $279,630.00 ",279630,279630
2009,2,Disbursements,N/A,MCC,Nicaragua,Nicaragua,Economic Development,Infrastructure," $3,110,324.39 ",3110324.39,3110324.39
2010,2,Disbsmnt.,Development Assistance,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Monitoring and Evaluation," $44,230.34 ",44230.34,44230.34
2010,4,Disbsmnt.,Development Assistance,usaid,Mongolia,Mongolia,"Democracy, Human Rights, and Governance",Good Governance," $133,783.10 ",133783.1,133783.1
2012,2,Disbursements,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Worldwide,Econ. Dev.,Economic Opportunity," $3,142,127.17 ",3142127.17,3142127.17
2009,4,Disbursements,Economic Support Fund, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Peace and Security,Conflict Mitigation and Reconciliation," $9,447.47 ",9447.469999999999,9447.469999999999
2010,3,Disbsmnt.,Global Health & Child Survival,usaid,USAID East Africa Regional,East Africa Region,Program Management,Direct Administrative Costs," $50,142.91 ",50142.91,50142.91
2013,3,Obligations,N/A,usaid,Afghanistan,Afghanistan,Program Management,Direct Administrative Costs," $1,594.39 ",1594.39,1594.39
2010,3,Disbsmnt.,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Kosovo,Peace and Security,Conflict Mitigation and Reconciliation," $51,926.29 ",51926.29,51926.29
2010,4,Disbsmnt.,Child Survival and Health Programs Fund,usaid,Malawi,Malawi,Program Management,Monitoring and Evaluation," $3,524.49 ",3524.49,3524.49
2013,1,Disbursements,N/A,MCC,Armenia,Armenia,multi-sector,Multi-Sector - Unspecified," $55,801.92 ",55801.92,55801.92
2014,2,Obligations,N/A,MCC,Indonesia,Indonesia,Program Management,Direct Administrative Costs," $2,027,575.10 ",2027575.1,2027575.1
2010,4,Obgl.,Development Assistance,usaid,Nigeria,Nigeria,Education and Social Services,Basic Education," $13,137,029.00 ",13137029,13137029
2010,4,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Ghana,Ghana,Health,Maternal and Child Health," $359,934.08 ",359934.08,359934.08
2012,4,Obligations,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Worldwide,Education and Social Services,Basic Education," $13,786,929.81 ",13786929.81,13786929.81
2013,3,Disbursements,Economic Support Fund,usaid,Somalia,Somalia,"Democracy, Human Rights, and Governance",Good Governance," $80,100.53 ",80100.53,80100.53
2013,2,Disbursements,Global HIV/AIDS Initiative,U.S.A.I.D,Mozambique,Mozambique,Health,HIV/AIDS," $(941,295.82)",-941295.82,-941295.82
2013,4,Disbursements,International Disaster Assistance,usaid,Afghanistan,Afghanistan,Program Management,Direct Administrative Costs," $94,088.36 ",94088.36,94088.36
2012,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,USAID Central Asia Regional,Central Asia Region,"Democracy, Human Rights, and Governance",Civil Society," $(37,026.82)",-37026.82,-37026.82
2011,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eurasia Region,Program Management,Monitoring and Evaluation," $19,966.16 ",19966.16,19966.16
2009,3,Disbursements,Development Assistance, USAID,Jamaica,Jamaica,Program Management,Monitoring and Evaluation," $3,968.19 ",3968.19,3968.19
2011,3,Obligations,Development Assistance,U.S.A.I.D,Indonesia,Indonesia,Health,Water Supply and Sanitation," $2,000,000.00 ",2000000,2000000
2014,2,Obligations,Complex Crises Fund,usaid,Nepal,Nepal,Program Management,Direct Administrative Costs," $116,162.11 ",116162.11,116162.11
2010,1,Disbsmnt.,Development Assistance,usaid,USAID Operating Expense,"Congo, Democratic Republic of","Democracy, Human Rights, and Governance",Good Governance," $596,322.40 ",596322.4,596322.4
2013,4,Obligations,N/A,usaid,Georgia,Georgia,"Democracy, Human Rights, and Governance",Good Governance," $1,300,000.00 ",1300000,1300000
2010,1,Disbsmnt.,Tech. Assistance,usaid,Kazakhstan,Kazakhstan,Economic Development,Private Sector Competitiveness," $849,001.85 ",849001.85,849001.85
2012,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Madagascar,Madagascar,Health,Maternal and Child Health," $1,718,111.78 ",1718111.78,1718111.78
2013,2,Disbursements,N/A,usaid,Bosnia and Herzegovina,Bosnia and Herzegovina,Economic Development,Trade and Investment," $313,244.24 ",313244.24,313244.24
2013,3,Disbursements,N/A,usaid,Georgia,Georgia,"Democracy, Human Rights, and Governance",Civil Society," $4,099,912.43 ",4099912.43,4099912.43
2013,3,Disbursements,Economic Support Fund,usaid,Jordan,Jordan,"Democracy, Human Rights, and Governance",Good Governance," $609,743.92 ",609743.92,609743.92
2010,2,Obgl.,N/A,MCC,Mongolia,Mongolia,multi-sector,Multi-Sector - Unspecified," $309,871.09 ",309871.09,309871.09
2011,4,Obligations,Economic Support Fund,usaid,Food Security (USAID),Worldwide,Economic Development,Agriculture," $2,000,000.00 ",2000000,2000000
2013,4,Disbursements,N/A,usaid,Senegal,Senegal,Peace and Security,Conflict Mitigation and Reconciliation," $680,799.78 ",680799.78,680799.78
2009,4,Disbursements,Operating Expenses, USAID,Namibia,Worldwide,Program Management,Direct Administrative Costs," $441,375.67 ",441375.67,441375.67
